Location Type,Descriptor,Complaint Type
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,JANITOR/SUPER,GENERAL
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,DAMP SPOT,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,DOOR FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,POWER OUTAGE,ELECTRIC
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,STEAM PIPE/RISER,PLUMBING
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,RADIATOR,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CARBON MONOXIDE DETECTOR,SAFETY
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,OUTLET/SWITCH,ELECTRIC
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,RADIATOR,PLUMBING
RESIDENTIAL BUILDING,WINDOW GUARD BROKEN/MISSING,SAFETY
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,MAINTENANCE,ELEVATOR
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CABINET,GENERAL
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,RADIATOR,PLUMBING
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,VENTILATION SYSTEM,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,WINDOW GUARD BROKEN/MISSING,SAFETY
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,WIRING,ELECTRIC
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,OUTLET/SWITCH,ELECTRIC
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,OUTLET/SWITCH,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,DAMP SPOT,WATER LEAK
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,SMOKE DETECTOR,SAFETY
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,POWER OUTAGE,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
Commercial Building,Puddle on Roof,Standing Water
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,POWER OUTAGE,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ROOFING,OUTSIDE BUILDING
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,OUTLET/SWITCH,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WIRING,ELECTRIC
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,STEAM PIPE/RISER,PLUMBING
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CABINET,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,BOILER,PLUMBING
RESIDENTIAL BUILDING,CARBON MONOXIDE DETECTOR,SAFETY
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,POWER OUTAGE,ELECTRIC
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,DAMP SPOT,WATER LEAK
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,REFRIGERATOR,APPLIANCE
RESIDENTIAL BUILDING,STEAM PIPE/RISER,PLUMBING
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,REFRIGERATOR,APPLIANCE
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,SMOKE DETECTOR,SAFETY
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,SMOKE DETECTOR,SAFETY
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,DOOR FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PORCH/BALCONY,OUTSIDE BUILDING
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
